epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.7522	38.09391403198242	{'tp': 2245, 'tn': 1516, 'fp': 998, 'fn': 241}	0.70525	172.4962158203125	{'tp': 6619, 'tn': 7486, 'fp': 2500, 'fn': 3395}
1	0.8208	29.975854873657227	{'tp': 2122, 'tn': 1982, 'fp': 532, 'fn': 364}	0.8082	126.70248413085938	{'tp': 7992, 'tn': 8172, 'fp': 1814, 'fn': 2022}
2	0.846	27.193147659301758	{'tp': 2275, 'tn': 1955, 'fp': 559, 'fn': 211}	0.8513	102.49044036865234	{'tp': 8529, 'tn': 8497, 'fp': 1489, 'fn': 1485}
3	0.8652	23.507511138916016	{'tp': 2273, 'tn': 2053, 'fp': 461, 'fn': 213}	0.87525	89.10294342041016	{'tp': 8784, 'tn': 8721, 'fp': 1265, 'fn': 1230}
4	0.8882	20.061580657958984	{'tp': 2327, 'tn': 2114, 'fp': 400, 'fn': 159}	0.89115	78.56182098388672	{'tp': 8972, 'tn': 8851, 'fp': 1135, 'fn': 1042}
5	0.8986	18.354076385498047	{'tp': 2276, 'tn': 2217, 'fp': 297, 'fn': 210}	0.90365	69.53328704833984	{'tp': 9083, 'tn': 8990, 'fp': 996, 'fn': 931}
6	0.9008	19.64530372619629	{'tp': 2254, 'tn': 2250, 'fp': 264, 'fn': 232}	0.9126	64.95616149902344	{'tp': 9202, 'tn': 9050, 'fp': 936, 'fn': 812}
7	0.894	19.615217208862305	{'tp': 2219, 'tn': 2251, 'fp': 263, 'fn': 267}	0.92075	59.26099395751953	{'tp': 9252, 'tn': 9163, 'fp': 823, 'fn': 762}
8	0.905	17.637516021728516	{'tp': 2321, 'tn': 2204, 'fp': 310, 'fn': 165}	0.9277	54.29243087768555	{'tp': 9323, 'tn': 9231, 'fp': 755, 'fn': 691}
9	0.905	18.07862091064453	{'tp': 2228, 'tn': 2297, 'fp': 217, 'fn': 258}	0.93245	50.165714263916016	{'tp': 9383, 'tn': 9266, 'fp': 720, 'fn': 631}
10	0.917	16.071687698364258	{'tp': 2286, 'tn': 2299, 'fp': 215, 'fn': 200}	0.93725	47.862552642822266	{'tp': 9420, 'tn': 9325, 'fp': 661, 'fn': 594}
11	0.9106	16.77042007446289	{'tp': 2234, 'tn': 2319, 'fp': 195, 'fn': 252}	0.94045	45.13655090332031	{'tp': 9471, 'tn': 9338, 'fp': 648, 'fn': 543}
12	0.9188	17.457563400268555	{'tp': 2259, 'tn': 2335, 'fp': 179, 'fn': 227}	0.9448	40.999237060546875	{'tp': 9501, 'tn': 9395, 'fp': 591, 'fn': 513}
13	0.909	18.269908905029297	{'tp': 2291, 'tn': 2254, 'fp': 260, 'fn': 195}	0.9445	40.5326042175293	{'tp': 9489, 'tn': 9401, 'fp': 585, 'fn': 525}
14	0.9132	17.351003646850586	{'tp': 2244, 'tn': 2322, 'fp': 192, 'fn': 242}	0.9533	36.400508880615234	{'tp': 9576, 'tn': 9490, 'fp': 496, 'fn': 438}
15	0.9128	17.964649200439453	{'tp': 2250, 'tn': 2314, 'fp': 200, 'fn': 236}	0.955	34.183780670166016	{'tp': 9579, 'tn': 9521, 'fp': 465, 'fn': 435}
16	0.9084	20.7265625	{'tp': 2389, 'tn': 2153, 'fp': 361, 'fn': 97}	0.95725	32.46717071533203	{'tp': 9605, 'tn': 9540, 'fp': 446, 'fn': 409}
17	0.9246	17.288610458374023	{'tp': 2316, 'tn': 2307, 'fp': 207, 'fn': 170}	0.95975	31.537242889404297	{'tp': 9629, 'tn': 9566, 'fp': 420, 'fn': 385}
18	0.9122	19.059425354003906	{'tp': 2376, 'tn': 2185, 'fp': 329, 'fn': 110}	0.9637	29.713848114013672	{'tp': 9680, 'tn': 9594, 'fp': 392, 'fn': 334}
19	0.9204	16.977022171020508	{'tp': 2334, 'tn': 2268, 'fp': 246, 'fn': 152}	0.9642	28.11077308654785	{'tp': 9671, 'tn': 9613, 'fp': 373, 'fn': 343}
20	0.9162	19.947866439819336	{'tp': 2353, 'tn': 2228, 'fp': 286, 'fn': 133}	0.9646	27.16371726989746	{'tp': 9682, 'tn': 9610, 'fp': 376, 'fn': 332}
21	0.906	23.44539451599121	{'tp': 2370, 'tn': 2160, 'fp': 354, 'fn': 116}	0.9718	22.59455680847168	{'tp': 9749, 'tn': 9687, 'fp': 299, 'fn': 265}
22	0.9182	20.38373565673828	{'tp': 2357, 'tn': 2234, 'fp': 280, 'fn': 129}	0.9711	22.17348861694336	{'tp': 9743, 'tn': 9679, 'fp': 307, 'fn': 271}
23	0.9216	19.454504013061523	{'tp': 2372, 'tn': 2236, 'fp': 278, 'fn': 114}	0.973	21.868946075439453	{'tp': 9757, 'tn': 9703, 'fp': 283, 'fn': 257}
24	0.8884	31.926597595214844	{'tp': 2424, 'tn': 2018, 'fp': 496, 'fn': 62}	0.9742	20.352615356445312	{'tp': 9769, 'tn': 9715, 'fp': 271, 'fn': 245}
