epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.9606	8.388487815856934	{'tp': 2388, 'tn': 2415, 'fp': 57, 'fn': 140}	0.9264	55.421546936035156	{'tp': 9240, 'tn': 9288, 'fp': 740, 'fn': 732}
1	0.9754	5.231992721557617	{'tp': 2488, 'tn': 2389, 'fp': 83, 'fn': 40}	0.97155	23.56101417541504	{'tp': 9704, 'tn': 9727, 'fp': 301, 'fn': 268}
2	0.9688	6.041543960571289	{'tp': 2499, 'tn': 2345, 'fp': 127, 'fn': 29}	0.9787	17.16557502746582	{'tp': 9780, 'tn': 9794, 'fp': 234, 'fn': 192}
3	0.9784	5.007856369018555	{'tp': 2498, 'tn': 2394, 'fp': 78, 'fn': 30}	0.97925	15.483972549438477	{'tp': 9782, 'tn': 9803, 'fp': 225, 'fn': 190}
4	0.9796	4.8665266036987305	{'tp': 2457, 'tn': 2441, 'fp': 31, 'fn': 71}	0.9838	12.778335571289062	{'tp': 9819, 'tn': 9857, 'fp': 171, 'fn': 153}
5	0.9694	6.872530460357666	{'tp': 2397, 'tn': 2450, 'fp': 22, 'fn': 131}	0.98585	11.702624320983887	{'tp': 9833, 'tn': 9884, 'fp': 144, 'fn': 139}
6	0.9796	4.876761436462402	{'tp': 2459, 'tn': 2439, 'fp': 33, 'fn': 69}	0.9893	9.331029891967773	{'tp': 9874, 'tn': 9912, 'fp': 116, 'fn': 98}
7	0.9806	4.319624900817871	{'tp': 2465, 'tn': 2438, 'fp': 34, 'fn': 63}	0.9894	8.679342269897461	{'tp': 9875, 'tn': 9913, 'fp': 115, 'fn': 97}
8	0.9794	5.071400165557861	{'tp': 2454, 'tn': 2443, 'fp': 29, 'fn': 74}	0.98925	8.747861862182617	{'tp': 9871, 'tn': 9914, 'fp': 114, 'fn': 101}
9	0.9786	4.6143035888671875	{'tp': 2468, 'tn': 2425, 'fp': 47, 'fn': 60}	0.9908	7.932590484619141	{'tp': 9889, 'tn': 9927, 'fp': 101, 'fn': 83}
10	0.9818	4.544075965881348	{'tp': 2498, 'tn': 2411, 'fp': 61, 'fn': 30}	0.9925	6.4688639640808105	{'tp': 9902, 'tn': 9948, 'fp': 80, 'fn': 70}
11	0.9834	4.111903667449951	{'tp': 2488, 'tn': 2429, 'fp': 43, 'fn': 40}	0.9936	5.619071006774902	{'tp': 9909, 'tn': 9963, 'fp': 65, 'fn': 63}
12	0.9824	4.161766529083252	{'tp': 2465, 'tn': 2447, 'fp': 25, 'fn': 63}	0.9933	5.801519870758057	{'tp': 9904, 'tn': 9962, 'fp': 66, 'fn': 68}
13	0.985	3.820836067199707	{'tp': 2503, 'tn': 2422, 'fp': 50, 'fn': 25}	0.99485	4.618610858917236	{'tp': 9925, 'tn': 9972, 'fp': 56, 'fn': 47}
14	0.9776	5.55859375	{'tp': 2435, 'tn': 2453, 'fp': 19, 'fn': 93}	0.9935	5.287321090698242	{'tp': 9914, 'tn': 9956, 'fp': 72, 'fn': 58}
15	0.9798	4.311046600341797	{'tp': 2498, 'tn': 2401, 'fp': 71, 'fn': 30}	0.99495	4.790650367736816	{'tp': 9924, 'tn': 9975, 'fp': 53, 'fn': 48}
16	0.9818	4.462410926818848	{'tp': 2497, 'tn': 2412, 'fp': 60, 'fn': 31}	0.99555	3.9208099842071533	{'tp': 9934, 'tn': 9977, 'fp': 51, 'fn': 38}
17	0.985	4.7459211349487305	{'tp': 2503, 'tn': 2422, 'fp': 50, 'fn': 25}	0.99585	3.861225128173828	{'tp': 9931, 'tn': 9986, 'fp': 42, 'fn': 41}
18	0.9828	4.691732406616211	{'tp': 2489, 'tn': 2425, 'fp': 47, 'fn': 39}	0.99685	2.8952460289001465	{'tp': 9943, 'tn': 9994, 'fp': 34, 'fn': 29}
19	0.985	3.812378406524658	{'tp': 2487, 'tn': 2438, 'fp': 34, 'fn': 41}	0.9957	3.801001787185669	{'tp': 9931, 'tn': 9983, 'fp': 45, 'fn': 41}
20	0.985	4.343928813934326	{'tp': 2493, 'tn': 2432, 'fp': 40, 'fn': 35}	0.99695	2.794626235961914	{'tp': 9940, 'tn': 9999, 'fp': 29, 'fn': 32}
21	0.9862	3.9857168197631836	{'tp': 2497, 'tn': 2434, 'fp': 38, 'fn': 31}	0.99545	3.96653413772583	{'tp': 9924, 'tn': 9985, 'fp': 43, 'fn': 48}
22	0.9804	7.042031764984131	{'tp': 2504, 'tn': 2398, 'fp': 74, 'fn': 24}	0.9985	1.633020043373108	{'tp': 9959, 'tn': 10011, 'fp': 17, 'fn': 13}
23	0.978	7.108168601989746	{'tp': 2459, 'tn': 2431, 'fp': 41, 'fn': 69}	0.99665	3.016726016998291	{'tp': 9941, 'tn': 9992, 'fp': 36, 'fn': 31}
24	0.982	4.556768894195557	{'tp': 2465, 'tn': 2445, 'fp': 27, 'fn': 63}	0.9964	3.248401165008545	{'tp': 9936, 'tn': 9992, 'fp': 36, 'fn': 36}
25	0.9822	5.210241317749023	{'tp': 2484, 'tn': 2427, 'fp': 45, 'fn': 44}	0.99715	2.3757503032684326	{'tp': 9940, 'tn': 10003, 'fp': 25, 'fn': 32}
26	0.9832	5.080722808837891	{'tp': 2500, 'tn': 2416, 'fp': 56, 'fn': 28}	0.99795	1.83989679813385	{'tp': 9951, 'tn': 10008, 'fp': 20, 'fn': 21}
27	0.9822	4.727303981781006	{'tp': 2509, 'tn': 2402, 'fp': 70, 'fn': 19}	0.99735	2.415764331817627	{'tp': 9942, 'tn': 10005, 'fp': 23, 'fn': 30}
28	0.9842	6.105807781219482	{'tp': 2495, 'tn': 2426, 'fp': 46, 'fn': 33}	0.99795	1.4323740005493164	{'tp': 9954, 'tn': 10005, 'fp': 23, 'fn': 18}
29	0.9808	7.390812873840332	{'tp': 2476, 'tn': 2428, 'fp': 44, 'fn': 52}	0.9968	2.7288198471069336	{'tp': 9942, 'tn': 9994, 'fp': 34, 'fn': 30}
30	0.9812	7.337571144104004	{'tp': 2472, 'tn': 2434, 'fp': 38, 'fn': 56}	0.99815	1.963131070137024	{'tp': 9954, 'tn': 10009, 'fp': 19, 'fn': 18}
31	0.9838	6.554574489593506	{'tp': 2513, 'tn': 2406, 'fp': 66, 'fn': 15}	0.9984	1.5838816165924072	{'tp': 9954, 'tn': 10014, 'fp': 14, 'fn': 18}
32	0.9822	7.082975387573242	{'tp': 2467, 'tn': 2444, 'fp': 28, 'fn': 61}	0.9988	1.3381086587905884	{'tp': 9960, 'tn': 10016, 'fp': 12, 'fn': 12}
33	0.9852	6.256321907043457	{'tp': 2487, 'tn': 2439, 'fp': 33, 'fn': 41}	0.9984	1.4275377988815308	{'tp': 9957, 'tn': 10011, 'fp': 17, 'fn': 15}
