epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.9916	1.6752190589904785	{'tp': 2483, 'tn': 2475, 'fp': 32, 'fn': 10}	0.9826	16.57817840576172	{'tp': 9784, 'tn': 9868, 'fp': 125, 'fn': 223}
1	0.992	1.846142053604126	{'tp': 2486, 'tn': 2474, 'fp': 33, 'fn': 7}	0.99505	4.518440246582031	{'tp': 9968, 'tn': 9933, 'fp': 60, 'fn': 39}
2	0.9918	2.0422229766845703	{'tp': 2488, 'tn': 2471, 'fp': 36, 'fn': 5}	0.99675	3.4081602096557617	{'tp': 9985, 'tn': 9950, 'fp': 43, 'fn': 22}
3	0.9932	1.884823203086853	{'tp': 2486, 'tn': 2480, 'fp': 27, 'fn': 7}	0.99755	2.1438026428222656	{'tp': 9991, 'tn': 9960, 'fp': 33, 'fn': 16}
4	0.9936	1.6593674421310425	{'tp': 2483, 'tn': 2485, 'fp': 22, 'fn': 10}	0.9978	2.197425603866577	{'tp': 9991, 'tn': 9965, 'fp': 28, 'fn': 16}
5	0.9932	1.9498332738876343	{'tp': 2479, 'tn': 2487, 'fp': 20, 'fn': 14}	0.9989	1.200331449508667	{'tp': 10000, 'tn': 9978, 'fp': 15, 'fn': 7}
6	0.9932	2.42755126953125	{'tp': 2475, 'tn': 2491, 'fp': 16, 'fn': 18}	0.99845	1.4898489713668823	{'tp': 9995, 'tn': 9974, 'fp': 19, 'fn': 12}
7	0.9922	2.522779941558838	{'tp': 2481, 'tn': 2480, 'fp': 27, 'fn': 12}	0.99945	0.5520687699317932	{'tp': 10003, 'tn': 9986, 'fp': 7, 'fn': 4}
8	0.9934	1.5351775884628296	{'tp': 2476, 'tn': 2491, 'fp': 16, 'fn': 17}	0.99905	0.8620497584342957	{'tp': 10001, 'tn': 9980, 'fp': 13, 'fn': 6}
9	0.994	1.7223857641220093	{'tp': 2474, 'tn': 2496, 'fp': 11, 'fn': 19}	0.9997	0.3674892485141754	{'tp': 10006, 'tn': 9988, 'fp': 5, 'fn': 1}
10	0.9944	1.8308115005493164	{'tp': 2483, 'tn': 2489, 'fp': 18, 'fn': 10}	0.99985	0.29128268361091614	{'tp': 10006, 'tn': 9991, 'fp': 2, 'fn': 1}
11	0.9944	1.7892159223556519	{'tp': 2481, 'tn': 2491, 'fp': 16, 'fn': 12}	0.9999	0.15823425352573395	{'tp': 10007, 'tn': 9991, 'fp': 2, 'fn': 0}
12	0.9946	1.9073976278305054	{'tp': 2481, 'tn': 2492, 'fp': 15, 'fn': 12}	0.9999	0.13113948702812195	{'tp': 10007, 'tn': 9991, 'fp': 2, 'fn': 0}
13	0.9952	1.797541856765747	{'tp': 2482, 'tn': 2494, 'fp': 13, 'fn': 11}	0.9999	0.1067899838089943	{'tp': 10007, 'tn': 9991, 'fp': 2, 'fn': 0}
14	0.9938	2.0539703369140625	{'tp': 2477, 'tn': 2492, 'fp': 15, 'fn': 16}	0.9999	0.09513851255178452	{'tp': 10007, 'tn': 9991, 'fp': 2, 'fn': 0}
15	0.9948	1.84343421459198	{'tp': 2480, 'tn': 2494, 'fp': 13, 'fn': 13}	0.99995	0.07616015523672104	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
16	0.9946	2.0615131855010986	{'tp': 2481, 'tn': 2492, 'fp': 15, 'fn': 12}	0.99995	0.06332611292600632	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
17	0.9946	1.9896994829177856	{'tp': 2479, 'tn': 2494, 'fp': 13, 'fn': 14}	0.99995	0.05390934273600578	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
18	0.9954	1.961647868156433	{'tp': 2482, 'tn': 2495, 'fp': 12, 'fn': 11}	0.99995	0.04683384671807289	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
19	0.9952	2.132108449935913	{'tp': 2483, 'tn': 2493, 'fp': 14, 'fn': 10}	0.99995	0.04511789232492447	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
20	0.9946	2.346132278442383	{'tp': 2482, 'tn': 2491, 'fp': 16, 'fn': 11}	0.99995	0.038494180887937546	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
21	0.9948	2.0449228286743164	{'tp': 2481, 'tn': 2493, 'fp': 14, 'fn': 12}	0.99995	0.030182186514139175	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
22	0.9948	2.1621041297912598	{'tp': 2482, 'tn': 2492, 'fp': 15, 'fn': 11}	0.99995	0.02506600134074688	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
23	0.9954	2.200421094894409	{'tp': 2482, 'tn': 2495, 'fp': 12, 'fn': 11}	0.99995	0.026462890207767487	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
24	0.9952	2.3693056106567383	{'tp': 2481, 'tn': 2495, 'fp': 12, 'fn': 12}	0.99995	0.02148037776350975	{'tp': 10007, 'tn': 9992, 'fp': 1, 'fn': 0}
25	0.9952	2.177649974822998	{'tp': 2482, 'tn': 2494, 'fp': 13, 'fn': 11}	1.0	0.018096502870321274	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
26	0.9958	1.888619065284729	{'tp': 2482, 'tn': 2497, 'fp': 10, 'fn': 11}	1.0	0.014653068035840988	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
27	0.995	2.296133279800415	{'tp': 2481, 'tn': 2494, 'fp': 13, 'fn': 12}	1.0	0.012005978263914585	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
28	0.9956	2.5220389366149902	{'tp': 2483, 'tn': 2495, 'fp': 12, 'fn': 10}	1.0	0.010658515617251396	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
29	0.9944	2.457078218460083	{'tp': 2481, 'tn': 2491, 'fp': 16, 'fn': 12}	1.0	0.009438983164727688	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
30	0.9952	2.2779042720794678	{'tp': 2481, 'tn': 2495, 'fp': 12, 'fn': 12}	1.0	0.009190884418785572	{'tp': 10007, 'tn': 9993, 'fp': 0, 'fn': 0}
