epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.5908	67.2784652709961	{'tp': 516, 'tn': 2438, 'fp': 62, 'fn': 1984}	0.66035	194.46487426757812	{'tp': 5825, 'tn': 7382, 'fp': 2618, 'fn': 4175}
1	0.6782	45.51531219482422	{'tp': 1056, 'tn': 2335, 'fp': 165, 'fn': 1444}	0.71295	173.58914184570312	{'tp': 6577, 'tn': 7682, 'fp': 2318, 'fn': 3423}
2	0.6964	49.669921875	{'tp': 1105, 'tn': 2377, 'fp': 123, 'fn': 1395}	0.73295	165.77613830566406	{'tp': 6948, 'tn': 7711, 'fp': 2289, 'fn': 3052}
3	0.6984	55.02601623535156	{'tp': 1173, 'tn': 2319, 'fp': 181, 'fn': 1327}	0.7525	157.60409545898438	{'tp': 7236, 'tn': 7814, 'fp': 2186, 'fn': 2764}
4	0.7698	37.999473571777344	{'tp': 1782, 'tn': 2067, 'fp': 433, 'fn': 718}	0.76635	150.03384399414062	{'tp': 7465, 'tn': 7862, 'fp': 2138, 'fn': 2535}
5	0.711	50.486610412597656	{'tp': 1182, 'tn': 2373, 'fp': 127, 'fn': 1318}	0.77915	144.641845703125	{'tp': 7661, 'tn': 7922, 'fp': 2078, 'fn': 2339}
6	0.7808	35.66264343261719	{'tp': 1688, 'tn': 2216, 'fp': 284, 'fn': 812}	0.7884	139.6636505126953	{'tp': 7767, 'tn': 8001, 'fp': 1999, 'fn': 2233}
7	0.8014	34.322750091552734	{'tp': 1885, 'tn': 2122, 'fp': 378, 'fn': 615}	0.79475	138.48170471191406	{'tp': 7847, 'tn': 8048, 'fp': 1952, 'fn': 2153}
8	0.779	37.594730377197266	{'tp': 2094, 'tn': 1801, 'fp': 699, 'fn': 406}	0.80335	131.4623260498047	{'tp': 7934, 'tn': 8133, 'fp': 1867, 'fn': 2066}
9	0.7578	42.33974838256836	{'tp': 1464, 'tn': 2325, 'fp': 175, 'fn': 1036}	0.80895	127.85919189453125	{'tp': 8017, 'tn': 8162, 'fp': 1838, 'fn': 1983}
10	0.7698	38.13225173950195	{'tp': 1538, 'tn': 2311, 'fp': 189, 'fn': 962}	0.81545	127.24525451660156	{'tp': 8101, 'tn': 8208, 'fp': 1792, 'fn': 1899}
11	0.7966	34.31855773925781	{'tp': 2191, 'tn': 1792, 'fp': 708, 'fn': 309}	0.81685	126.58362579345703	{'tp': 8150, 'tn': 8187, 'fp': 1813, 'fn': 1850}
12	0.7908	36.30293655395508	{'tp': 1654, 'tn': 2300, 'fp': 200, 'fn': 846}	0.82315	120.78386688232422	{'tp': 8183, 'tn': 8280, 'fp': 1720, 'fn': 1817}
13	0.7932	34.14219284057617	{'tp': 2235, 'tn': 1731, 'fp': 769, 'fn': 265}	0.82665	118.9537353515625	{'tp': 8230, 'tn': 8303, 'fp': 1697, 'fn': 1770}
