epoch	validation_accuracy	validation_loss	validation_conf_matrix	train_accuracy	train_loss	train_conf_matrix
0	0.9444	10.230390548706055	{'tp': 2308, 'tn': 2414, 'fp': 123, 'fn': 155}	0.9463	40.631595611572266	{'tp': 9504, 'tn': 9422, 'fp': 541, 'fn': 533}
1	0.9616	7.6198625564575195	{'tp': 2298, 'tn': 2510, 'fp': 27, 'fn': 165}	0.96545	27.822410583496094	{'tp': 9698, 'tn': 9611, 'fp': 352, 'fn': 339}
2	0.9588	10.318623542785645	{'tp': 2418, 'tn': 2376, 'fp': 161, 'fn': 45}	0.9717	22.18764305114746	{'tp': 9762, 'tn': 9672, 'fp': 291, 'fn': 275}
3	0.9674	7.656727313995361	{'tp': 2406, 'tn': 2431, 'fp': 106, 'fn': 57}	0.9764	18.220752716064453	{'tp': 9806, 'tn': 9722, 'fp': 241, 'fn': 231}
4	0.9702	6.034115314483643	{'tp': 2397, 'tn': 2454, 'fp': 83, 'fn': 66}	0.9786	17.05451774597168	{'tp': 9831, 'tn': 9741, 'fp': 222, 'fn': 206}
5	0.9692	6.250370979309082	{'tp': 2385, 'tn': 2461, 'fp': 76, 'fn': 78}	0.9815	15.43250846862793	{'tp': 9859, 'tn': 9771, 'fp': 192, 'fn': 178}
6	0.9616	7.199023246765137	{'tp': 2326, 'tn': 2482, 'fp': 55, 'fn': 137}	0.98395	11.98466682434082	{'tp': 9880, 'tn': 9799, 'fp': 164, 'fn': 157}
7	0.9696	6.504367351531982	{'tp': 2359, 'tn': 2489, 'fp': 48, 'fn': 104}	0.9852	12.202274322509766	{'tp': 9895, 'tn': 9809, 'fp': 154, 'fn': 142}
8	0.9672	7.442149639129639	{'tp': 2409, 'tn': 2427, 'fp': 110, 'fn': 54}	0.98645	11.036436080932617	{'tp': 9901, 'tn': 9828, 'fp': 135, 'fn': 136}
9	0.9698	7.465555191040039	{'tp': 2456, 'tn': 2393, 'fp': 144, 'fn': 7}	0.9863	11.167608261108398	{'tp': 9900, 'tn': 9826, 'fp': 137, 'fn': 137}
10	0.962	9.099781036376953	{'tp': 2346, 'tn': 2464, 'fp': 73, 'fn': 117}	0.9894	8.19122314453125	{'tp': 9936, 'tn': 9852, 'fp': 111, 'fn': 101}
11	0.9654	11.618550300598145	{'tp': 2425, 'tn': 2402, 'fp': 135, 'fn': 38}	0.98615	11.81485366821289	{'tp': 9896, 'tn': 9827, 'fp': 136, 'fn': 141}
12	0.9812	4.132933616638184	{'tp': 2422, 'tn': 2484, 'fp': 53, 'fn': 41}	0.991	7.068655967712402	{'tp': 9948, 'tn': 9872, 'fp': 91, 'fn': 89}
13	0.9746	5.9815897941589355	{'tp': 2414, 'tn': 2459, 'fp': 78, 'fn': 49}	0.9908	7.979039669036865	{'tp': 9942, 'tn': 9874, 'fp': 89, 'fn': 95}
14	0.9704	6.853893280029297	{'tp': 2432, 'tn': 2420, 'fp': 117, 'fn': 31}	0.99125	7.4140520095825195	{'tp': 9952, 'tn': 9873, 'fp': 90, 'fn': 85}
15	0.9746	6.521721363067627	{'tp': 2399, 'tn': 2474, 'fp': 63, 'fn': 64}	0.99145	6.7660627365112305	{'tp': 9954, 'tn': 9875, 'fp': 88, 'fn': 83}
16	0.9604	12.085945129394531	{'tp': 2442, 'tn': 2360, 'fp': 177, 'fn': 21}	0.992	6.787346839904785	{'tp': 9950, 'tn': 9890, 'fp': 73, 'fn': 87}
17	0.969	6.631267070770264	{'tp': 2364, 'tn': 2481, 'fp': 56, 'fn': 99}	0.9924	7.046369552612305	{'tp': 9964, 'tn': 9884, 'fp': 79, 'fn': 73}
18	0.9682	11.248141288757324	{'tp': 2413, 'tn': 2428, 'fp': 109, 'fn': 50}	0.99385	5.304793357849121	{'tp': 9977, 'tn': 9900, 'fp': 63, 'fn': 60}
19	0.9646	10.30296802520752	{'tp': 2427, 'tn': 2396, 'fp': 141, 'fn': 36}	0.99325	5.4361042976379395	{'tp': 9969, 'tn': 9896, 'fp': 67, 'fn': 68}
20	0.971	8.078787803649902	{'tp': 2363, 'tn': 2492, 'fp': 45, 'fn': 100}	0.9914	7.2857794761657715	{'tp': 9948, 'tn': 9880, 'fp': 83, 'fn': 89}
21	0.9772	7.290010452270508	{'tp': 2420, 'tn': 2466, 'fp': 71, 'fn': 43}	0.9954	4.219502925872803	{'tp': 9997, 'tn': 9911, 'fp': 52, 'fn': 40}
22	0.9754	8.031657218933105	{'tp': 2419, 'tn': 2458, 'fp': 79, 'fn': 44}	0.99515	3.954176664352417	{'tp': 9990, 'tn': 9913, 'fp': 50, 'fn': 47}
